SalesVsPurchases,EmployeeGrowth,TotalSales,ClaimCredits,NetIncome,GrossLoss,Inventories,GrossRevenue,RawMaterials,FixedAssets,TaxEvasion
SVgtPV,EGincrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Medium
SVltPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPincr,Medium
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,High
SVgtPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,Medium
SVeqPV,EGdecrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVgtPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIdecr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,High
SVgtPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVltPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPdecr,Low
SVltPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVltPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPdecr,Low
SVgtPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,High
SVgtPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSincr,FAincrTPdecr,High
SVeqPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVltPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPincr,High
SVeqPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVeqPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPincr,Medium
SVltPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVltPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,High
SVeqPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVgtPV,EGincrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,High
SVgtPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Low
SVltPV,EGincrTPincr,TSdecrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVeqPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVltPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVgtPV,EGdecrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPdecr,Medium
SVltPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,High
SVeqPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVltPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPincr,Medium
SVltPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Low
SVltPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Low
SVltPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVltPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAincrTPdecr,Medium
SVltPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,Low
SVeqPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Low
SVgtPV,EGincrTPincr,TSincrTPincr,UsualCC,NIdecrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPdecr,High
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAdecrTPincr,High
SVeqPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSincr,FAdecrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSincr,FAdecrTPincr,Low
SVgtPV,EGincrTPincr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,High
SVeqPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAdecrTPincr,High
SVltPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPincr,Low
SVgtPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVeqPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Medium
SVgtPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,Low
SVgtPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVeqPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAincrTPdecr,High
SVltPV,EGincrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVgtPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSincr,FAdecrTPincr,High
SVgtPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAdecrTPincr,High
SVeqPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIincr,GRincrTPincr,RMPCincrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSincr,FAdecrTPincr,Medium
SVeqPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVltPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,Low
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,High
SVgtPV,EGincrTPincr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAdecrTPincr,Low
SVeqPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVeqPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGincrTPincr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSincr,FAdecrTPincr,Low
SVltPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVltPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVeqPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPincr,High
SVltPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIdecr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,High
SVeqPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSincr,FAdecrTPincr,Low
SVltPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAdecrTPincr,Medium
SVltPV,EGincrTPincr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Medium
SVeqPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPdecr,High
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAincrTPincr,Medium
SVgtPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVltPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVltPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSincr,FAincrTPincr,Low
SVeqPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVeqPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVltPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVgtPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Medium
SVgtPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,High
SVgtPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSincr,FAincrTPincr,High
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Low
SVgtPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Medium
SVeqPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVeqPV,EGincrTPdecr,TSdecrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGincrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVeqPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAincrTPdecr,Medium
SVeqPV,EGincrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVgtPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,High
SVltPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVgtPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSincr,FAincrTPdecr,High
SVltPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,Low
